time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-05-29T02:29:55.370,40.3083333,-124.5505,19.181,2.81,md,25,246,0.1946,0.25,nc,nc71406026,2017-01-22T11:13:48.616,offshore Northern California,earthquake,2.57,0.63,0.161,58,reviewed,nc,nc
2010-06-03T18:44:02.630,40.377,-125.4778333,4.692,2.74,md,38,288,0.8748,0.28,nc,nc71409171,2017-01-22T11:55:35.064,offshore Northern California,earthquake,8.22,23.78,0.149,35,reviewed,nc,nc
2010-06-05T09:05:26.140,40.3953333,-125.4646667,25.664,4.25,mw,55,254,0.8631,0.25,nc,nc71409946,2017-01-22T12:06:03.970,offshore Northern California,earthquake,0.91,17.82,,4,reviewed,nc,nc
2010-06-05T21:28:04.140,40.37,-124.7868333,12.231,3.81,mw,82,239,0.3586,0.21,nc,nc71410191,2017-01-22T12:08:51.860,offshore Northern California,earthquake,0.35,0.58,,3,reviewed,nc,nc
2010-06-07T23:46:56.670,40.3825,-124.8481667,12.979,2.72,md,38,241,0.4,0.22,nc,nc71406080,2017-01-22T12:22:53.786,offshore Northern California,earthquake,1.85,1.54,0.2,35,reviewed,nc,nc
2010-06-22T16:23:34.910,40.4533333,-126.1145,18.882,3.05,ml,42,272,1.355,0.26,nc,nc71419021,2017-01-22T14:10:03.918,off the coast of Northern California,earthquake,4.97,7.57,0.134,11,reviewed,nc,nc
2010-06-27T01:28:28.590,40.611,-124.7145,9.009,2.53,md,41,260,0.3171,0.23,nc,nc71415920,2017-01-22T14:40:09.674,offshore Northern California,earthquake,0.87,1.1,0.169,35,reviewed,nc,nc
2010-06-30T16:19:02.010,40.6083333,-124.7635,23.469,2.74,md,36,263,0.3505,0.26,nc,nc71417700,2017-01-22T15:03:24.566,offshore Northern California,earthquake,1.14,8.36,0.208,39,reviewed,nc,nc
2010-07-07T23:25:01.650,40.3873333,-125.9833333,4.327,2.75,md,18,324,1.287,0.36,nc,nc71420700,2017-01-22T15:49:37.368,off the coast of Northern California,earthquake,25.32,29.8,0.24,17,reviewed,nc,nc
2010-07-09T23:56:34.470,40.4166667,-125.0246667,15.961,2.8,md,53,249,0.527,0.32,nc,nc71422095,2017-01-22T16:04:21.671,offshore Northern California,earthquake,2.37,4.15,0.215,45,reviewed,nc,nc
2010-07-10T03:11:21.990,40.2978333,-124.332,7.7,2.84,md,19,199,0.04414,0.18,nc,nc71422405,2017-01-22T16:05:17.040,Northern California,earthquake,0.81,0.38,0.279,49,reviewed,nc,nc
2010-07-12T15:15:12.770,40.6805,-124.614,23.124,3.05,ml,30,234,0.2937,0.08,nc,nc71423790,2017-01-22T16:22:21.870,offshore Northern California,earthquake,0.73,1.37,0.205,15,reviewed,nc,nc
2010-07-17T23:49:58.200,40.3036667,-124.4515,19.131,2.93,md,20,254,0.1234,0.19,nc,nc71427010,2017-01-22T17:05:15.548,offshore Northern California,earthquake,1.76,0.5,0.136,65,reviewed,nc,nc
2010-07-28T02:39:31.020,40.5603333,-124.7305,9.869,2.79,md,37,267,0.3108,0.24,nc,nc71438256,2017-01-22T18:37:27.982,offshore Northern California,earthquake,2.04,1.23,0.15,46,reviewed,nc,nc
2010-07-29T10:48:08.640,40.3073333,-124.7751667,10.801,2.62,md,43,278,0.3622,0.28,nc,nc71438961,2017-01-22T18:47:40.349,offshore Northern California,earthquake,2.79,1.59,0.057,4,reviewed,nc,nc
2010-07-30T14:36:27.680,40.3903333,-124.263,6.359,2.51,md,20,133,0.07027,0.14,nc,nc71439571,2017-01-22T18:56:08.590,Northern California,earthquake,0.33,0.61,0.179,38,reviewed,nc,nc
